dataset,metric,material,method,mean,std,n_runs
Jasper Ridge,SAD,Road,MiSiCNet,0.2281,0.0002,5
Jasper Ridge,SAD,Road,ADMM,0.1908,0.0112,5
Jasper Ridge,SAD,Road,EGU-Net,0.3653,0.0532,5
Jasper Ridge,SAD,Road,SVACA,0.143,0.0423,5
Jasper Ridge,SAD,Road,SRViT,0.1584,0.0029,5
Jasper Ridge,SAD,Road,ERRNet,0.1083,0.0183,5
Jasper Ridge,SAD,Soil,MiSiCNet,0.5244,0.0004,5
Jasper Ridge,SAD,Soil,ADMM,0.27,0.0096,5
Jasper Ridge,SAD,Soil,EGU-Net,0.8564,0.0281,5
Jasper Ridge,SAD,Soil,SVACA,0.5051,0.0945,5
Jasper Ridge,SAD,Soil,SRViT,0.3044,0.0096,5
Jasper Ridge,SAD,Soil,ERRNet,0.0746,0.0312,5
Jasper Ridge,SAD,Water,MiSiCNet,0.2046,0.0006,5
Jasper Ridge,SAD,Water,ADMM,0.3134,0.0606,5
Jasper Ridge,SAD,Water,EGU-Net,0.341,0.0752,5
Jasper Ridge,SAD,Water,SVACA,0.2569,0.0805,5
Jasper Ridge,SAD,Water,SRViT,0.1548,0.0085,5
Jasper Ridge,SAD,Water,ERRNet,0.1091,0.0267,5
Jasper Ridge,SAD,Tree,MiSiCNet,0.2374,0.0001,5
Jasper Ridge,SAD,Tree,ADMM,0.5633,0.0236,5
Jasper Ridge,SAD,Tree,EGU-Net,0.3319,0.0718,5
Jasper Ridge,SAD,Tree,SVACA,0.4334,0.1181,5
Jasper Ridge,SAD,Tree,SRViT,0.7437,0.1495,5
Jasper Ridge,SAD,Tree,ERRNet,0.1214,0.0783,5
Jasper Ridge,Mean SAD,All,MiSiCNet,0.2986,0.0002,5
Jasper Ridge,Mean SAD,All,ADMM,0.3344,0.0088,5
Jasper Ridge,Mean SAD,All,EGU-Net,0.4736,0.024,5
Jasper Ridge,Mean SAD,All,SVACA,0.3346,0.0245,5
Jasper Ridge,Mean SAD,All,SRViT,0.3403,0.0381,5
Jasper Ridge,Mean SAD,All,ERRNet,0.1033,0.0287,5
Jasper Ridge,RMSE,All,MiSiCNet,0.1586,0.0001,5
Jasper Ridge,RMSE,All,ADMM,0.1906,0.0062,5
Jasper Ridge,RMSE,All,EGU-Net,0.2524,0.0899,5
Jasper Ridge,RMSE,All,SVACA,0.2914,0.0567,5
Jasper Ridge,RMSE,All,SRViT,0.2113,0.0215,5
Jasper Ridge,RMSE,All,ERRNet,0.0921,0.0208,5
