dataset,metric,material,method,mean,std,n_runs
Urban,SAD,Asphalt,MiSiCNet,1.2048,0.0077,5
Urban,SAD,Asphalt,ADMM,0.2111,0.0304,5
Urban,SAD,Asphalt,EGU-Net,0.4444,0.1554,5
Urban,SAD,Asphalt,SVACA,0.72,0.2534,5
Urban,SAD,Asphalt,SRViT,0.3099,0.1537,5
Urban,SAD,Asphalt,ERRNet,0.1438,0.0807,5
Urban,SAD,Grass,MiSiCNet,0.3521,0.0126,5
Urban,SAD,Grass,ADMM,0.3944,0.1335,5
Urban,SAD,Grass,EGU-Net,0.5558,0.2477,5
Urban,SAD,Grass,SVACA,0.5611,0.1101,5
Urban,SAD,Grass,SRViT,0.4378,0.085,5
Urban,SAD,Grass,ERRNet,0.1383,0.023,5
Urban,SAD,Tree,MiSiCNet,0.2329,0.0014,5
Urban,SAD,Tree,ADMM,0.6992,0.1505,5
Urban,SAD,Tree,EGU-Net,0.6157,0.3126,5
Urban,SAD,Tree,SVACA,0.5331,0.0858,5
Urban,SAD,Tree,SRViT,0.1357,0.0265,5
Urban,SAD,Tree,ERRNet,0.1585,0.0068,5
Urban,SAD,Roof,MiSiCNet,0.1966,0.0017,5
Urban,SAD,Roof,ADMM,0.3527,0.1007,5
Urban,SAD,Roof,EGU-Net,0.5707,0.3078,5
Urban,SAD,Roof,SVACA,0.9291,0.1441,5
Urban,SAD,Roof,SRViT,0.3065,0.0226,5
Urban,SAD,Roof,ERRNet,0.0776,0.0796,5
Urban,SAD,Metal,MiSiCNet,0.4372,0.0128,5
Urban,SAD,Metal,ADMM,0.2864,0.0637,5
Urban,SAD,Metal,EGU-Net,0.5168,0.206,5
Urban,SAD,Metal,SVACA,0.7915,0.088,5
Urban,SAD,Metal,SRViT,0.6623,0.277,5
Urban,SAD,Metal,ERRNet,0.091,0.1429,5
Urban,SAD,Dirt,MiSiCNet,0.3162,0.0008,5
Urban,SAD,Dirt,ADMM,0.152,0.0539,5
Urban,SAD,Dirt,EGU-Net,0.4392,0.1207,5
Urban,SAD,Dirt,SVACA,0.679,0.1288,5
Urban,SAD,Dirt,SRViT,0.2117,0.2772,5
Urban,SAD,Dirt,ERRNet,0.2285,0.0629,5
Urban,Mean SAD,All,MiSiCNet,0.4566,0.0056,5
Urban,Mean SAD,All,ADMM,0.3493,0.0203,5
Urban,Mean SAD,All,EGU-Net,0.5238,0.2122,5
Urban,Mean SAD,All,SVACA,0.7023,0.0951,5
Urban,Mean SAD,All,SRViT,0.344,0.0862,5
Urban,Mean SAD,All,ERRNet,0.1396,0.0096,5
Urban,RMSE,All,MiSiCNet,0.2201,0.0009,5
Urban,RMSE,All,ADMM,0.382,0.0582,5
Urban,RMSE,All,EGU-Net,0.3085,0.0696,5
Urban,RMSE,All,SVACA,0.5107,0.07,5
Urban,RMSE,All,SRViT,0.2642,0.0249,5
Urban,RMSE,All,ERRNet,0.0992,0.0273,5
